Priority Mail International,,,,,,,,,,

Weight Not Over (lb.),1,2,3,4,5,6,7,8,9,10
36,81.25,107.25,159.75,156.25,134.75,206.25,198.65,186.25,150.75,212.75
37,83,109.5,163.5,160,137.8,211.5,203.7,191,154.5,218.1
38,84.75,111.75,167.25,163.75,140.85,216.75,208.75,195.75,158.25,223.45
39,86.5,114,171,167.5,143.9,222,213.8,200.5,162,228.8
40,88.25,116.25,174.75,171.25,146.95,227.25,218.85,205.25,165.75,234.15
41,90,118.5,178.5,175,150,232.5,223.9,210,169.5,239.5
42,91.75,120.75,182.25,178.75,153.05,237.75,228.95,214.75,173.25,244.85
43,93.5,123,186,182.5,156.1,243,234,219.5,177,250.2
44,95.25,125.25,189.75,186.25,159.15,248.25,239.05,224.25,180.75,255.55
45,97,-,193.5,190,162.2,253.5,244.1,229,184.5,260.9
46,98.75,-,197.25,193.75,165.25,258.75,249.15,233.75,188.25,266.25
47,100.5,-,201,197.5,168.3,264,254.2,238.5,192,271.6
48,102.25,-,204.75,201.25,171.35,269.25,259.25,243.25,195.75,276.95
49,104,-,208.5,205,174.4,274.5,264.3,248,199.5,282.3
50,105.75,-,212.25,208.75,177.45,279.75,269.35,252.75,203.25,287.65
51,107.5,-,216,212.5,180.5,285,274.4,257.5,207,293
52,109.25,-,219.75,216.25,183.55,290.25,279.45,262.25,210.75,298.35
53,111,-,223.5,220,186.6,295.5,284.5,267,214.5,303.7
54,112.75,-,227.25,223.75,189.65,300.75,289.55,271.75,218.25,309.05
55,114.5,-,231,227.5,192.7,306,294.6,276.5,222,314.4
56,116.25,-,234.75,231.25,195.75,311.25,299.65,281.25,225.75,319.75
57,118,-,238.5,235,198.8,316.5,304.7,286,229.5,325.1
58,119.75,-,242.25,238.75,201.85,321.75,309.75,290.75,233.25,330.45
59,121.5,-,246,242.5,204.9,327,314.8,295.5,237,335.8
60,123.25,-,249.75,246.25,207.95,332.25,319.85,300.25,240.75,341.15
61,125,-,253.5,250,211,337.5,324.9,305,244.5,346.5
62,126.75,-,257.25,253.75,214.05,342.75,329.95,309.75,248.25,351.85
63,128.5,-,261,257.5,217.1,348,335,314.5,252,357.2
64,130.25,-,264.75,261.25,220.15,353.25,340.05,319.25,255.75,362.55
65,132,-,268.5,265,223.2,358.5,345.1,324,259.5,367.9
66,133.75,-,272.25,268.75,226.25,363.75,350.15,328.75,263.25,373.25
67,-,-,276,272.5,229.3,369,355.2,333.5,267,-
68,-,-,279.75,276.25,232.35,374.25,360.25,338.25,270.75,-
69,-,-,283.5,280,235.4,379.5,365.3,343,274.5,-
70,-,-,287.25,283.75,238.45,384.75,370.35,347.75,278.25,-
Flat-Rate Envelope,11.45,11.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
Small Flat Rate Box,11.45,11.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45,13.45
Medium Flat-Rate Boxes,26.95,26.95,43.45,43.45,43.45,43.45,43.45,43.45,43.45,43.45
Large Flat Rate Box,33.95,33.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95,55.95
