EXPRESS MAIL INTERNATIONAL - RETAIL,,,,,,,,,,,,,,,,,

Weight Not Over (lb.),Price Groups,,,,,,,,,,,,,,,,
.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
31,140.40,120.55,197.30,162.40,172.05,196.80,203.05,205.55,191.65,213.00,167.05,194.70,166.85,194.80,188.65,165.75,166.65
32,143.95,123.20,203.05,166.65,176.60,202.35,208.70,211.30,196.90,219.05,171.40,200.35,171.20,200.45,193.80,170.05,171.00
33,147.50,125.85,208.80,170.90,181.15,207.90,214.35,217.05,202.15,225.10,175.75,206.00,175.55,206.10,198.95,174.35,175.35
34,151.05,128.50,214.55,175.15,185.70,213.45,220.00,222.80,207.40,231.15,180.10,211.65,179.90,211.75,204.10,178.65,179.70
35,154.60,131.15,220.30,179.40,190.25,219.00,225.65,228.55,212.65,237.20,184.45,217.30,184.25,217.40,209.25,182.95,184.05
36,158.15,133.80,226.05,183.65,194.80,224.55,231.30,234.30,217.90,243.25,188.80,222.95,188.60,223.05,214.40,187.25,188.40
37,161.70,136.45,231.80,187.90,199.35,230.10,236.95,240.05,223.15,249.30,193.15,228.60,192.95,228.70,219.55,191.55,192.75
38,165.25,139.10,237.55,192.15,203.90,235.65,242.60,245.80,228.40,255.35,197.50,234.25,197.30,234.35,224.70,195.85,197.10
39,168.80,141.75,243.30,196.40,208.45,241.20,248.25,251.55,233.65,261.40,201.85,239.90,201.65,240.00,229.85,200.15,201.45
40,172.35,144.40,249.05,200.65,213.00,246.75,253.90,257.30,238.90,267.45,206.20,245.55,206.00,245.65,235.00,204.45,205.80
41,175.90,147.05,254.80,204.90,217.55,252.20,259.55,263.05,244.15,273.50,210.55,251.20,210.35,251.30,240.15,208.75,210.15
42,179.45,149.70,260.55,209.15,222.10,257.65,265.20,268.80,249.40,279.55,214.90,256.85,214.70,256.95,245.30,213.05,214.50
43,183.00,152.35,266.30,213.40,226.65,263.10,270.85,274.55,254.65,285.60,219.25,262.50,219.05,262.60,250.45,217.35,218.85
44,186.55,155.00,272.05,217.65,231.20,268.55,276.50,280.30,259.90,291.65,223.60,268.15,223.40,268.25,255.60,221.65,223.20
45,190.10,-,277.80,221.90,235.75,274.00,282.15,286.05,265.15,297.70,227.95,273.80,227.75,273.90,260.75,225.95,227.55
46,193.65,-,283.55,226.15,240.30,279.45,287.80,291.80,270.40,303.75,232.30,279.45,232.10,279.55,265.90,230.25,231.90
47,197.20,-,289.30,230.40,244.85,284.90,293.45,297.55,275.65,309.80,236.65,285.10,236.45,285.20,271.05,234.55,236.25
48,200.75,-,295.05,234.65,249.40,290.35,299.10,303.30,280.90,315.85,241.00,290.75,240.80,290.85,276.20,238.85,240.60
49,204.30,-,300.80,238.90,253.95,295.80,304.75,309.05,286.15,321.90,245.35,296.40,245.15,296.50,281.35,243.15,244.95
50,207.85,-,306.55,243.15,258.50,301.25,310.40,314.80,291.40,327.95,249.70,302.05,249.50,302.15,286.50,247.45,249.30
51,211.40,-,312.30,247.40,263.05,306.70,316.05,320.55,296.65,334.00,254.05,307.70,253.85,307.80,291.65,251.75,253.65
52,214.95,-,318.05,251.65,267.60,312.15,321.70,326.30,301.90,340.05,258.40,313.35,258.20,313.45,296.80,256.05,258.00
53,218.50,-,323.80,255.90,272.15,317.60,327.35,332.05,307.15,346.10,262.75,319.00,262.55,319.10,301.95,260.35,262.35
54,222.05,-,329.55,260.15,276.70,323.05,333.00,337.80,312.40,352.15,267.10,324.65,266.90,324.75,307.10,264.65,266.70
55,225.60,-,335.30,264.40,281.25,328.50,338.65,343.55,317.65,358.20,271.45,330.30,271.25,330.40,312.25,268.95,271.05
56,229.15,-,341.05,268.65,285.80,333.95,344.30,349.30,322.90,364.25,275.80,335.95,275.60,336.05,317.40,273.25,275.40
57,232.70,-,346.80,272.90,290.35,339.40,349.95,355.05,328.15,370.30,280.15,341.60,279.95,341.70,322.55,277.55,279.75
58,236.25,-,352.55,277.15,294.90,344.85,355.60,360.80,333.40,376.35,284.50,347.25,284.30,347.35,327.70,281.85,284.10
59,239.80,-,358.30,281.40,299.45,350.30,361.25,366.55,338.65,382.40,288.85,352.90,288.65,353.00,332.85,286.15,288.45
60,243.35,-,364.05,285.65,304.00,355.75,366.90,372.30,343.90,388.45,293.20,358.55,293.00,358.65,338.00,290.45,292.80
61,246.90,-,369.80,289.90,308.55,361.20,372.55,378.05,349.15,394.50,297.55,364.20,297.35,364.30,343.15,294.75,297.15
62,250.45,-,375.55,294.15,313.10,366.65,378.20,383.80,354.40,400.55,301.90,369.85,301.70,369.95,348.30,299.05,301.50
63,254.00,-,381.30,298.40,317.65,372.10,383.85,389.55,359.65,406.60,306.25,375.50,306.05,375.60,353.45,303.35,305.85
64,257.55,-,387.05,302.65,322.20,377.55,389.50,395.30,364.90,412.65,310.60,381.15,310.40,381.25,358.60,307.65,310.20
65,261.10,-,392.80,306.90,326.75,383.00,395.15,401.05,370.15,418.70,314.95,386.80,314.75,386.90,363.75,311.95,314.55
66,264.65,-,398.55,311.15,331.30,388.45,400.80,406.80,375.40,424.75,319.30,392.45,319.10,392.55,368.90,316.25,318.90
67,-,-,404.30,315.40,335.85,393.90,406.45,412.55,380.65,-,-,-,-,-,-,-,-
68,-,-,410.05,319.65,340.40,399.35,412.10,418.30,385.90,-,-,-,-,-,-,-,-
69,-,-,415.80,323.90,344.95,404.80,417.75,424.05,391.15,-,-,-,-,-,-,-,-
70,-,-,421.55,328.15,349.50,410.25,423.40,429.80,396.40,-,-,-,-,-,-,-,-
Flat Rate Env,26.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95
Legal FRE,26.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95,29.95
